"from","to"
"BAP1","TPM3"
"BAP1","PRMT5"
"BAP1","PGK1"
"BAP1","CSNK2B"
"BAP1","IGF2BP3"
"BAP1","HNRNPA2B1"
"BAP1","CAPZB"
"BAP1","EIF3A"
"BAP1","PSMC3"
"BAP1","DNAJC7"
"BAP1","PPP1CA"
"BAP1","USP9X"
"BAP1","EIF4G1"
"AARS","BAP1"
"BAP1","RPL13"
"BAP1","RPL32"
"BAP1","RANGAP1"
"BAP1","CHD4"
"BAP1","RPS18"
"BAP1","HDGF"
"BAP1","PSMD14"
"BAP1","POLD1"
"BAP1","PRKCSH"
"BAP1","SUPT16H"
"BAP1","P4HA1"
"AP1B1","BAP1"
"BAP1","EWSR1"
"BAP1","TUFM"
"BAP1","SSRP1"
"BAP1","PSMD13"
"BAP1","UPF1"
"BAP1","FXR2"
"BAP1","MYBBP1A"
"BAP1","MCM7"
"BAP1","SNRPB"
"BAP1","USP5"
"BAP1","RPS28"
"BAP1","SHMT2"
"BAP1","MCM2"
"BAP1","CUL3"
"BAP1","PFKL"
"AP2M1","BAP1"
"BAP1","NCAPD2"
"BAP1","ZC3H4"
"BAP1","FTSJ3"
"BAP1","RECQL"
"BAP1","DDX41"
"BAP1","DBNL"
"BAP1","PSPC1"
"BAP1","DCTN4"
"BAP1","COPS7B"
"BAP1","DDX42"
"BAP1","PRPF40A"
"BAP1","MCM5"
"BAP1","USP21"
"AKT1","BAP1"
"BAP1","HIST1H3C"
"HSP90AB1","STIP1"
"ENO2","STIP1"
"PGK1","STIP1"
"HIST1H2BH","STIP1"
"STIP1","VASP"
"PSMD2","STIP1"
"AP1B1","STIP1"
"CHD4","STIP1"
"CSNK2B","STIP1"
"EIF4G1","STIP1"
"GPS1","STIP1"
"HSPB1","STIP1"
"IRAK1","STIP1"
"KPNA2","STIP1"
"MCM5","STIP1"
"MCM7","STIP1"
"POLD1","STIP1"
"MAP2K2","STIP1"
"PSMC3","STIP1"
"PSMC4","STIP1"
"PSMD11","STIP1"
"PSMD13","STIP1"
"RANGAP1","STIP1"
"STIP1","UPF1"
"SLC3A2","STIP1"
"SMARCA4","STIP1"
"SSRP1","STIP1"
"DNAJC7","STIP1"
"STIP1","TUFM"
"STIP1","YWHAE"
"STIP1","USP5"
"STIP1","USP9X"
"PRPF4","STIP1"
"NCAPD2","STIP1"
"PSMD14","STIP1"
"MYBBP1A","STIP1"
"STIP1","STIP1"
"SF3B2","STIP1"
"STIP1","SUPT16H"
"STIP1","XPOT"
"CCT5","STIP1"
"MKRN2","STIP1"
"PELP1","STIP1"
"DDX41","STIP1"
"ATAD3A","STIP1"
"NAT10","STIP1"
"NUP85","STIP1"
"STIP1","TIMM50"
"EIF3A","STIP1"
"MCM2","STIP1"
"RPS18","STIP1"
"STIP1","TRAP1"
"CAD","STIP1"
"STIP1","USP10"
"CDK3","STIP1"
"EWSR1","STIP1"
"RECQL4","STIP1"
"SDCCAG3","STIP1"
"AURKB","STIP1"
"POLR2C","STIP1"
"NBR1","STIP1"
"CAPZB","STIP1"
"BAP1","STIP1"
"DET1","STIP1"
"RECQL","STIP1"
"RNF130","STIP1"
"ENO1","STIP1"
"PI4KA","STIP1"
"MECP2","SUV39H1"
"MECP2","PRPF40A"
"MECP2","SMARCB1"
"CBX5","MECP2"
"MECP2","RPL13"
"MECP2","MYBBP1A"
"MECP2","NAT10"
"MECP2","RPL32"
"FXR2","MECP2"
"DDX42","MECP2"
"MECP2","PPP1R10"
"MECP2","PSPC1"
"DDX41","MECP2"
"ACIN1","MECP2"
"MECP2","SUPT16H"
"MECP2","P4HA1"
"MECP2","PRPF3"
"MECP2","PRPF4"
"HMGA2","MECP2"
"MECP2","SSRP1"
"CAD","MECP2"
"MECP2","OGDH"
"CAPZB","MECP2"
"AQR","MECP2"
"FLOT1","MECP2"
"CHD4","MECP2"
"KRT8","MECP2"
"MECP2","SUPT5H"
"MECP2","PRMT1"
"HMGA1","MECP2"
"ATAD3A","MECP2"
"MECP2","PPP1CA"
"MECP2","POLR2C"
"MECP2","PAK1IP1"
"AP2M1","MECP2"
"KPNA2","MECP2"
"CBX4","MECP2"
"HNRNPA2B1","MECP2"
"MECP2","SMARCA4"
"MECP2","UPF1"
"HSP90AB1","MECP2"
"MECP2","PLOD1"
"MECP2","RBM15"
"MECP2","ZC3H4"
"KRT2","MECP2"
"COPE","MECP2"
"MECP2","SF3B2"
"MECP2","RANGAP1"
"MECP2","WBP11"
"EIF4G1","MECP2"
"MECP2","SNRPB"
"MECP2","SLC25A1"
"INTS6","MECP2"
"MECP2","PHB2"
"EWSR1","MECP2"
"MECP2","THOC1"
"MECP2","RPS18"
"MECP2","SHMT2"
"IGF2BP3","MECP2"
"MECP2","TUFM"
"MECP2","TERF2"
"MECP2","PLK1"
"MECP2","PRC1"
"HIST1H3C","MECP2"
"CDK2","RECQL4"
"AP1B1","RECQL4"
"ATAD3A","RECQL4"
"CAD","RECQL4"
"CAPZB","RECQL4"
"CCT5","RECQL4"
"CCT6B","RECQL4"
"CFL1","RECQL4"
"CHD3","RECQL4"
"CHD4","RECQL4"
"CLPB","RECQL4"
"COPS7B","RECQL4"
"CS","RECQL4"
"CSNK2B","RECQL4"
"CUL3","RECQL4"
"CUL5","RECQL4"
"DNAJC7","RECQL4"
"EIF3A","RECQL4"
"EIF4G1","RECQL4"
"ENO1","RECQL4"
"EWSR1","RECQL4"
"GPS1","RECQL4"
"GSK3B","RECQL4"
"HCFC1","RECQL4"
"HNRNPA2B1","RECQL4"
"HSP90AB1","RECQL4"
"IGF2BP3","RECQL4"
"KPNA2","RECQL4"
"LSM4","RECQL4"
"MCM2","RECQL4"
"MCM5","RECQL4"
"MCM7","RECQL4"
"MYBBP1A","RECQL4"
"NDUFA9","RECQL4"
"NPLOC4","RECQL4"
"NUP85","RECQL4"
"PHB2","RECQL4"
"PLK1","RECQL4"
"PLOD1","RECQL4"
"PMPCB","RECQL4"
"POLR2C","RECQL4"
"PPM1G","RECQL4"
"PPP1CA","RECQL4"
"PPP2R2D","RECQL4"
"PRMT1","RECQL4"
"PRMT5","RECQL4"
"PRPF4","RECQL4"
"PSMC3","RECQL4"
"PSMC4","RECQL4"
"PSMD11","RECQL4"
"PSMD13","RECQL4"
"PSMD14","RECQL4"
"PSMD2","RECQL4"
"RANGAP1","RECQL4"
"RECQL4","RECQL4"
"RECQL4","RPL13"
"RECQL4","RPL32"
"RECQL4","RPS18"
"RECQL4","RPS28"
"RECQL4","SDCCAG3"
"RECQL4","SF3B2"
"RECQL4","SIRT1"
"RECQL4","SLC3A2"
"RECQL4","SMARCB1"
"RECQL4","SNRPB"
"RECQL4","SSRP1"
"RECQL4","STIP1"
"RECQL4","SUPT16H"
"RECQL4","SUPT5H"
"RECQL4","TIMM50"
"RECQL4","TOMM34"
"RECQL4","TRAP1"
"RECQL4","TSHZ3"
"RECQL4","TTC4"
"RECQL4","TUFM"
"RECQL4","UPF1"
"RECQL4","USP9X"
"RECQL4","YWHAE"
"KIF14","RECQL4"
"TNIP1","TNIP1"
"TNIP1","VPS33B"
"NBR1","TNIP1"
"MCRS1","TNIP1"
"IRAK1","TNIP1"
"AARS","TNIP1"
"HDGF","TNIP1"
"CCT5","TNIP1"
"HMGA1","TNIP1"
"MARK3","TNIP1"
"EIF3A","TNIP1"
"SNRPB","TNIP1"
"TNIP1","USP10"
"SSRP1","TNIP1"
"SUPT16H","TNIP1"
"HNRNPA2B1","TNIP1"
"IGF2BP3","TNIP1"
"ENO1","TNIP1"
"TNIP1","TPX2"
"TNIP1","YWHAE"
"PRC1","TNIP1"
"ABLIM1","TNIP1"
"CAD","TNIP1"
"AURKB","TNIP1"
"RPS18","TNIP1"
"KPNA2","TNIP1"
"TNIP1","UTP3"
"NAT10","TNIP1"
"CBX4","TNIP1"
"SLC25A1","TNIP1"
"TAF4","TNIP1"
"TNIP1","UPF1"
"RBM15","TNIP1"
"HSP90AB1","TNIP1"
"RPL32","TNIP1"
"FTSJ3","TNIP1"
"RANGAP1","TNIP1"
"CFL1","TNIP1"
"DAXX","TNIP1"
"TNIP1","TPM3"
"FXR2","TNIP1"
"HSPB1","TNIP1"
"FLOT1","TNIP1"
"PRPF3","TNIP1"
"RPS28","TNIP1"
"MCM5","TNIP1"
"MCM7","TNIP1"
"RPL13","TNIP1"
"EWSR1","TNIP1"
"AP2M1","TNIP1"
"TNIP1","TUFM"
"AATF","TNIP1"
"PSMD2","TNIP1"
"PAK1IP1","TNIP1"
"MYBBP1A","TNIP1"
"PRMT5","TNIP1"
"PPP1CA","TNIP1"
"PHB2","TNIP1"
"GLTSCR2","TNIP1"
"SMARCA4","TNIP1"
"SLC3A2","TNIP1"
"SF3B2","TNIP1"
"CAPZB","TNIP1"
"PFKL","TNIP1"
