"from","to"
"NUP62","VCP"
"NUPL1","VCP"
"NME2","VCP"
"DIAPH3","VCP"
"RAB3GAP1","VCP"
"RAB10","VCP"
"RBFOX2","VCP"
"PPP6C","VCP"
"STAT1","VCP"
"SNX3","VCP"
"SPAST","VCP"
"STMN1","VCP"
"TAX1BP1","VCP"
"TBC1D9B","VCP"
"TCP1","VCP"
"CCT2","VCP"
"CSK","VCP"
"VCL","VCP"
"VCP","WAPAL"
"CDKN1B","VCP"
"ACTN4","VCP"
"AR","VCP"
"ANKLE2","VCP"
"RPL23","VCP"
"HNRNPH1","VCP"
"MRPS23","VCP"
"PSMC4","VCP"
"RPS11","VCP"
"RPS4X","VCP"
"SUPT6H","VCP"
"ATG5","VCP"
"CALU","VCP"
"TUBB2B","VCP"
"CHMP4B","VCP"
"CLUAP1","VCP"
"MAGT1","VCP"
"UBAC2","VCP"
"MTAP","VCP"
"CAV1","VCP"
"RBM8A","VCP"
"SDF2L1","VCP"
"PTPN11","VCP"
"GRHPR","VCP"
"COMMD2","VCP"
"AP3M1","VCP"
"UBE2J1","VCP"
"EIF3K","VCP"
"MAP4K4","VCP"
"VCP","WIPI2"
"IRF2BP1","VCP"
"FLOT1","VCP"
"CNDP2","VCP"
"DYNLRB1","VCP"
"BRCC3","VCP"
"ACTR1A","VCP"
"AKR1B1","VCP"
"FAM120A","VCP"
"ANXA11","VCP"
"MON2","VCP"
"POLR1C","VCP"
"HAUS4","VCP"
"MED15","VCP"
"LAMP1","VCP"
"PON2","VCP"
"PINK1","VCP"
"BIK","VCP"
"PARK2","VCP"
"COL1A1","VCP"
"VANGL2","VCP"
"RPS27A","VCP"
"HMGB1","VCP"
"SFN","VCP"
"HADH","VCP"
"HSPA1B","VCP"
"RPS18","VCP"
"GARS","VCP"
"FAM129B","VCP"
"CAP1","VCP"
"G6PD","VCP"
"ACO2","VCP"
"ACSL3","VCP"
"ACTR2","VCP"
"ADH5","VCP"
"ARF4","VCP"
"BCAP31","VCP"
"CDC42","VCP"
"DDX3X","VCP"
"DNAJA1","VCP"
"DNAJB1","VCP"
"EEF1B2","VCP"
"EEF1D","VCP"
"EEF1G","VCP"
"EIF2S1","VCP"
"EPHX1","VCP"
"FDPS","VCP"
"FEN1","VCP"
"FN1","VCP"
"GGH","VCP"
"IDH2","VCP"
"KRT10","VCP"
"KRT14","VCP"
"KRT16","VCP"
"KRT9","VCP"
"LRRC15","VCP"
"MARCKS","VCP"
"MDH1","VCP"
"NONO","VCP"
"NPEPPS","VCP"
"PALLD","VCP"
"PCBP1","VCP"
"PGK1","VCP"
"PLS3","VCP"
"PRDX4","VCP"
"PYGB","VCP"
"RAN","VCP"
"RPL18","VCP"
"RPL7","VCP"
"RPL9","VCP"
"RPS7","VCP"
"RTN4","VCP"
"SERPINH1","VCP"
"SLC25A5","VCP"
"TAGLN2","VCP"
"TPM2","VCP"
"TUBB2A","VCP"
"VCP","XRCC6"
"HDAC2","VCP"
"TNPO1","VCP"
"FNBP1","VCP"
"HLA-B","VCP"
"IKBKE","VCP"
"CD3D","VCP"
"VCP","WAC"
"HDAC5","VCP"
"HLA-DRB1","VCP"
"HMGCR","VCP"
"SIRT7","VCP"
"UBL4A","VCP"
"APOA1","VCP"
"CD4","VCP"
"CLTA","VCP"
"DSTN","VCP"
"RNF31","VCP"
"VAPB","VCP"
"PPT1","VCP"
"CLGN","VCP"
"IPO4","VCP"
"SLC25A3","VCP"
"TKT","VCP"
"PIK3R3","VCP"
"IFT74","VCP"
"DLD","VCP"
"RPA2","VCP"
"VCP","WDR77"
"SLC25A46","VCP"
"NOD2","VCP"
"RC3H1","VCP"
"RFFL","VCP"
"P4HA1","VCP"
"NDUFS3","VCP"
"NDUFS8","VCP"
"DES","VCP"
"COX7C","VCP"
"P2RY6","VCP"
"SLC15A3","VCP"
"UNC93B1","VCP"
"ACPP","VCP"
"MTM1","VCP"
"NFX1","VCP"
"PLEKHA4","VCP"
"OPTN","VCP"
"DOK2","VCP"
"ANLN","VCP"
"UBASH3A","VCP"
"RBM39","VCP"
"DDB2","VCP"
"GJD3","VCP"
"JAK2","VCP"
"PTPN3","VCP"
"SLFN11","VCP"
"BAG1","VCP"
"RHOH","VCP"
"RAC1","VCP"
"RAC2","VCP"
"RHOB","VCP"
"RHOD","VCP"
"KRAS","VCP"
"PGRMC1","VCP"
"SHOC2","VCP"
"MARCH5","VCP"
"PSMB8","VCP"
"PSMD8","VCP"
"PSMB3","VCP"
"PSMD7","VCP"
"ACE2","VCP"
"ARHGAP24","VCP"
"GABARAPL1","VCP"
"FNDC3A","VCP"
"CIAO1","VCP"
"DDA1","VCP"
"RPA3","VCP"
"PML","VCP"
"TNIP1","VCP"
"MEX3A","VCP"
"YWHAH","ZFP36"
"SNRPE","YWHAH"
"ING1","YWHAH"
"PARK2","YWHAH"
"YWHAH","YWHAH"
"LRRK2","YWHAH"
"YWHAB","YWHAH"
"YWHAG","YWHAH"
"TP53BP2","YWHAH"
"YWHAH","YWHAQ"
"PTOV1","YWHAH"
"NEDD4","YWHAH"
"PLCH1","YWHAH"
"USP43","YWHAH"
"AGAP1","YWHAH"
"WWC1","YWHAH"
"PTPN3","YWHAH"
"TAB2","YWHAH"
"AMOTL2","YWHAH"
"TJP2","YWHAH"
"GIGYF1","YWHAH"
"SH3PXD2A","YWHAH"
"HDAC5","YWHAH"
"LATS2","YWHAH"
"PSD3","YWHAH"
"ERC1","YWHAH"
"RAI14","YWHAH"
"LUZP1","YWHAH"
"ARHGAP21","YWHAH"
"FOXO3","YWHAH"
"MTM1","YWHAH"
"RAB11FIP2","YWHAH"
"MAP3K7","YWHAH"
"EPN2","YWHAH"
