"from","to"
"ILF3","TUBA4A"
"PRKCZ","TUBA4A"
"BAG1","TUBA4A"
"ADARB1","TUBA4A"
"SMC5","TUBA4A"
"NUP43","PELO"
"ITGA4","PELO"
"ANKRD28","NUP43"
"ADCK3","SIN3A"
"ADCK3","IRAK1"
"ARL6IP5","RTN4"
"ARL6IP5","NRAS"
"ARL6IP5","ATP2A1"
"CLIC1","ITGA4"
"CLIC1","HNF1B"
"CLIC1","NUPR1"
"BAG1","CLIC1"
"DPF2","LCP1"
"LCP1","NRAS"
"LCP1","MBNL1"
"ILF3","MINA"
"CABIN1","SIN3A"
"CABIN1","HNF1B"
"ADARB1","CD97"
"CD97","NRAS"
"MDK","SIN3A"
"MDK","SMC5"
"ISCA1","RIT1"
"CCR4","RTN4"
"FHL3","PRR5L"
"COPS2","SIN3A"
"COPS2","COPS3"
"COPS2","COPS2"
"ACIN1","COPS2"
"COPS2","DNMT1"
"COPS2","RIT1"
"COPS2","H2AFY"
"DHX9","ILF3"
"DHX9","DNMT3B"
"CHERP","DHX9"
"DHX9","MBNL1"
"ACIN1","DHX9"
"DHX9","SUZ12"
"DHX9","NUPR1"
"DHX9","ZBTB2"
"DHX9","RIT1"
"BAG1","DHX9"
"DHX9","SMC5"
"ACIN1","NUPR1"
"CDK6","NUPR1"
"DBN1","NUPR1"
"DHX15","NUPR1"
"DHX9","NUPR1"
"H2AFY","NUPR1"
"ILF3","NUPR1"
"LGALS8","NUPR1"
"NF2","NUPR1"
"NUP155","NUPR1"
"NUP43","NUPR1"
"NF2","RIT1"
"ILF3","RIT1"
"NUP43","RIT1"
"RIT1","RIT1"
"CHERP","RIT1"
"COPS2","RIT1"
"DHX15","RIT1"
"DHX9","RIT1"
"DNMT1","RIT1"
"NUP155","RIT1"
"DHX15","ILF3"
"CHERP","DHX15"
"ACIN1","DHX15"
"DHX15","ITGA4"
"DHX15","NF2"
"DHX15","SNIP1"
"DHX15","NUPR1"
"DHX15","RIT1"
"BAG1","DHX15"
"DHX15","SMC5"
"SUZ12","SUZ12"
"DNMT1","SUZ12"
"ILF3","SUZ12"
"ACIN1","SUZ12"
"H2AFY","SUZ12"
"DHX9","SUZ12"
"DBN1","SUZ12"
"FHL3","SUZ12"
"DNMT3B","SUZ12"
"SIN3A","SUZ12"
"SUZ12","ZBTB2"
"CHERP","SNIP1"
"ACIN1","SNIP1"
"SNIP1","SNIP1"
"DHX15","SNIP1"
"DDX24","SNIP1"
"H2AFY","SNIP1"
"ILF3","SNIP1"
"CDK6","SNIP1"
"NRP1","NRP1"
"NRP1","RAB3B"
"NRP1","RAB4A"
"NRP1","YTHDF3"
"NF2","NRP1"
"GOLGB1","NRP1"
"ACIN1","NRP1"
"ADARB1","ADARB1"
"ADARB1","DDX24"
"ADARB1","RBFOX2"
"ACIN1","ADARB1"
"ADARB1","ILF3"
"ADARB1","H2AFY"
"ADARB1","SIN3A"
"SMC5","SMC5"
"SMC5","ZMYM2"
"DHX9","SMC5"
"ACIN1","SMC5"
"DDX24","SMC5"
"CHERP","SMC5"
"DHX15","SMC5"
"ATP2A1","SMC5"
"H2AFY","SMC5"
"ILF3","SMC5"
"LEMD3","SMC5"
"DNMT1","SMC5"
"MBNL1","SMC5"
"SMC5","YTHDF3"
"DBN1","SMC5"
"DDX24","DDX24"
"DBN1","DDX24"
"DDX24","SNIP1"
"ATP2A1","DDX24"
"DDX24","ZBTB2"
"ADARB1","DDX24"
"DDX24","TLX2"
"DDX24","NUP43"
"DDX24","SMC5"
"RBFOX2","RBFOX2"
"MBNL1","RBFOX2"
"CHERP","RBFOX2"
"RBFOX2","YTHDF3"
"ADARB1","RBFOX2"
"ACIN1","DHX9"
"ACIN1","DHX15"
"ACIN1","SUZ12"
"ACIN1","SNIP1"
"ACIN1","NUPR1"
"ACIN1","ZBTB2"
"ACIN1","NRP1"
"ACIN1","COPS2"
"ACIN1","ADARB1"
"ACIN1","NUP43"
"ACIN1","SMC5"
"ILF3","RTN4"
"ADARB1","ILF3"
"DHX9","ILF3"
"ILF3","LEMD3"
"ILF3","ITGA4"
"ILF3","SUZ12"
"ILF3","SNIP1"
"ILF3","NUPR1"
"ILF3","ZBTB2"
"ILF3","RIT1"
"BAG1","ILF3"
"DHX15","ILF3"
"ILF3","SMC5"
"COPS2","SIN3A"
"SIN3A","SUZ12"
"SIN3A","ZMYM2"
"DNMT3B","SIN3A"
"H2AFY","SIN3A"
"ADARB1","SIN3A"
"IRAK1","PRKCZ"
"IRAK1","IRAK1"
"IRAK1","PPP2CA"
"IRAK1","NUP155"
"MAP4K4","NRAS"
"NF2","NRAS"
"NRAS","NRAS"
"GOLGB1","NRAS"
"LEMD3","NRAS"
"PRKCZ","PRKCZ"
"PPP2CA","PRKCZ"
"IRAK1","PRKCZ"
"CDK6","PPP2CA"
"IRAK1","PPP2CA"
"PPP2CA","PRKCZ"
"MAP4K4","PPP2CA"
"ITGA4","PPP2CA"
"DPF2","PPP2CA"
"LEMD3","NRAS"
"ATP2A1","LEMD3"
"LEMD3","NUP155"
"LEMD3","RAB3B"
"LEMD3","RAB4A"
"ILF3","LEMD3"
"LEMD3","STYK1"
"LEMD3","SMC5"
"GOLGB1","NUP155"
"LEMD3","NUP155"
"IRAK1","NUP155"
"NUP155","RTN4"
"EYA4","NUP155"
"NUP155","NUPR1"
"ATP2A1","NUP155"
"NUP155","RIT1"
"NUP155","STYK1"
"NUP155","RNF149"
"RTN4","RTN4"
"ILF3","RTN4"
"ATP2A1","RTN4"
"NUP155","RTN4"
"RAB3B","RTN4"
"RAB4A","RTN4"
"IFITM1","RTN4"
"ATP2A1","LEMD3"
"ATP2A1","NUP155"
"ATP2A1","RAB3B"
"ATP2A1","RTN4"
"ATP2A1","DDX24"
"ATP2A1","DPF2"
"ATP2A1","SMC5"
"VCL","VCL"
"GBF1","VCL"
"ITGA4","VCL"
"RNF149","VCL"
"STYK1","STYK1"
"DBN1","STYK1"
"MAP4K4","STYK1"
"LEMD3","STYK1"
"NUP155","STYK1"
"GOLGB1","RAB3B"
