"from","to"
"PPCDC","RIT1"
"HSP90AA1","PI4K2A"
"PI4K2A","RHOU"
"LAMP1","PI4K2A"
"HSP90AA1","PI4K2B"
"CCT3","PI4K2B"
"FBXW5","PI4K2B"
"NR2C2AP","RIT1"
"FAM170A","NDC80"
"RNF4","ZNF227"
"SPRYD3","YWHAH"
"CCNY","LRRC59"
"CCNY","YWHAH"
"CCNY","RNF4"
"CCNY","NUPR1"
"CCNY","EPHA2"
"LAMP1","SLC48A1"
"GTSF1","LRRK2"
"HSPE1","SELM"
"TRIM59","UBC"
"RHOU","TRIM59"
"FAM163A","YWHAH"
"CDC20","FBXW5"
"CCT3","FBXW5"
"FBXW5","RICTOR"
"FBXW5","HSP90AA1"
"DCAF4","FBXW5"
"KIF20A","KIF20A"
"HIST1H1E","KIF20A"
"KIF20A","MKI67"
"KIF20A","NOP56"
"DHX15","KIF20A"
"KIF20A","NOP58"
"KIF20A","SRSF1"
"KIF20A","RACGAP1"
"KIF20A","SRSF7"
"KIF20A","SRSF2"
"KIF20A","PRKDC"
"KIF20A","RPL37A"
"KIF20A","XRCC5"
"GNL3","KIF20A"
"KIF20A","SMARCA4"
"KIF20A","SRSF10"
"KIF20A","SNRPB"
"C1QBP","KIF20A"
"KIF20A","RBBP4"
"KIF20A","PARP1"
"UBE3A","UBE3A"
"UBC","UBE3A"
"PDIA3","UBE3A"
"UBB","UBE3A"
"TUBA1B","UBE3A"
"HIST1H1E","UBE3A"
"NOP58","UBE3A"
"UBE3A","YWHAH"
"NAA40","PARP1"
"MSH6","NAA40"
"MKI67","NAA40"
"NAA40","PRKDC"
"CCT3","NAA40"
"NAA40","XRCC5"
"NAA40","NOP56"
"GNL3","NAA40"
"LRRC59","NAA40"
"NAA40","NAA40"
"C1QBP","NAA40"
"NAA40","PDIA3"
"HIST1H1E","NAA40"
"HSP90AA1","NAA40"
"NAA40","SMARCA4"
"NAA40","UBE2O"
"NAA40","OPTN"
"CCT3","TUBA1B"
"SRSF2","TUBA1B"
"RICTOR","TUBA1B"
"TUBA1B","UBE3A"
"OPALIN","TUBA1B"
"OPTN","TUBA1B"
"RHOG","TUBA1B"
"RHOD","TUBA1B"
"RHOU","TUBA1B"
"RHOH","TUBA1B"
"RIT1","TUBA1B"
"RNF43","TUBA1B"
"TUBA1B","UBE2O"
"EPHA2","TUBA1B"
"YWHAH","YWHAH"
"LRRK2","YWHAH"
"C1QBP","YWHAH"
"NEDD4","YWHAH"
"SRSF10","YWHAH"
"RICTOR","YWHAH"
"RACGAP1","YWHAH"
"UBE3A","YWHAH"
"OPTN","YWHAH"
"CDC20","YWHAH"
"LAMP1","YWHAH"
"SRSF1","YWHAH"
"HSP90AA1","YWHAH"
"UBE2O","UBE2O"
"UBC","UBE2O"
"SUZ12","UBE2O"
"RPL37A","UBE2O"
"CDC20","UBE2O"
"GNL3","UBE2O"
"DHX15","UBE2O"
"PARP1","UBE2O"
"ACTG1","UBE2O"
"NOP58","UBE2O"
"TUBA1B","UBE2O"
"DYNC1H1","UBE2O"
"PRKDC","UBE2O"
"MED4","UBE2O"
"NAA40","UBE2O"
"UBE2O","ZBTB2"
"RNF43","UBE2O"
"DCAF4","UBE2O"
"RACGAP1","YWHAH"
"RACGAP1","SH3KBP1"
"KIF20A","RACGAP1"
"MKI67","RACGAP1"
"NUPR1","RACGAP1"
"CENPA","RACGAP1"
"PARP1","RACGAP1"
"RACGAP1","RIT1"
"LAMP1","LAMP1"
"LAMP1","RICTOR"
"EPHA2","LAMP1"
"LAMP1","LRRC59"
"LAMP1","YWHAH"
"LAMP1","RNF4"
"C1QBP","LAMP1"
"HSP90AA1","LRRK2"
"LRRK2","YWHAH"
"LRRK2","LRRK2"
"LRRK2","PRKDC"
"DYNC1H1","LRRK2"
"ACTG1","LRRK2"
"LRRK2","RIT1"
"C1QBP","LRRK2"
"LRRC59","LRRK2"
"LRRK2","SRSF2"
"LRRK2","SRP9"
"LRRK2","SNRPB"
"LRRK2","PDIA3"
"LRRK2","NEDD4"
