"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"SORD","NONE",-3.228,85,69,56.0117647058824
"LMO1","BOTH",-2.504,71,63,55.9014084507042
"PLXNA1","BOTH",2.193,93,72,55.741935483871
"ITGB4","BOTH",-2.524,74,64,55.3513513513514
"ABTB2","BOTH",2.251,61,58,55.1475409836066
"TSPYL2","BOTH",-2.313,61,58,55.1475409836066
"STAT5B","BOTH",-2.174,79,66,55.1392405063291
"PGR","BOTH",-4.198,59,57,55.0677966101695
"MTM1","BOTH",-3.945,55,55,55
"CD4","ORF",3.373,75,64,54.6133333333333
"PCK2","ORF",2.252,80,66,54.45
"PHC3","BOTH",2.034,64,59,54.390625
"SPP1","ORF",3.814,64,59,54.390625
"ARFIP2","BOTH",-2.005,78,65,54.1666666666667
"AMOTL1","ORF",-2.763,69,61,53.9275362318841
"CNN3","BOTH",-2.373,67,60,53.7313432835821
"FYCO1","NON_ORF",-2.773,67,60,53.7313432835821
"ARFGAP3","BOTH",-2.266,97,72,53.4432989690722
"GTF2H4","BOTH",2.055,72,62,53.3888888888889
"GCC1","ORF",-2.133,77,64,53.1948051948052
"LCN2","BOTH",-4.126,77,64,53.1948051948052
"KIAA0196","BOTH",5.733,70,61,53.1571428571429
"COL1A1","BOTH",4.869,57,55,53.0701754385965
"PLBD1","BOTH",2.288,64,58,52.5625
"EPB41L4B","BOTH",2.086,71,61,52.4084507042254
"STXBP2","ORF",-2.333,62,57,52.4032258064516
"LIMK1","BOTH",2.004,62,57,52.4032258064516
"RBL2","BOTH",-2.846,60,56,52.2666666666667
"SULT1C4","BOTH",3.411,60,56,52.2666666666667
"HMMR","BOTH",5.304,81,65,52.1604938271605
"CDKN2C","BOTH",2.231,56,54,52.0714285714286
"KHDRBS3","ORF",5.803,67,59,51.955223880597
"MCFD2","NONE",-2.956,67,59,51.955223880597
"SHB","ORF",-2.46,72,61,51.6805555555556
"OSBPL3","BOTH",3.057,77,63,51.5454545454545
"PASK","BOTH",-4.296,70,60,51.4285714285714
"SIDT2","BOTH",-2.979,59,55,51.271186440678
"CSTB","ORF",3.371,68,59,51.1911764705882
"SEPT6","ORF",-2.362,66,58,50.969696969697
"COASY","BOTH",-2.097,78,63,50.8846153846154
"LIMK2","BOTH",-3.124,60,55,50.4166666666667
"PTPRM","BOTH",-3.88,60,55,50.4166666666667
"RFX1","BOTH",2.24,60,55,50.4166666666667
"MAPK8IP2","ORF",2.923,60,55,50.4166666666667
"MELK","BOTH",2.713,74,61,50.2837837837838
"PTN","BOTH",-4.597,58,54,50.2758620689655
"SETD8","NON_ORF",-3.408,67,58,50.2089552238806
"FOXJ2","ORF",-2.269,54,52,50.0740740740741
"GOLM1","BOTH",-2.9,72,60,50
"SRFBP1","BOTH",2.105,63,56,49.7777777777778
"BCL7B","ORF",-2.693,63,56,49.7777777777778
"SPRY4","ORF",2.053,61,55,49.5901639344262
"ZG16B","NONE",-2.78,61,55,49.5901639344262
"SECISBP2","BOTH",1.966,73,60,49.3150684931507
"TMEM25","ORF",-2.188,57,53,49.280701754386
"MDK","NONE",3.027,57,53,49.280701754386
"CHRAC1","ORF",5.314,55,52,49.1636363636364
"CDKN2B","BOTH",4.17,55,52,49.1636363636364
"SORBS1","ORF",-2.501,69,58,48.7536231884058
"TPD52","BOTH",2.604,74,60,48.6486486486487
"TACC2","BOTH",-3.229,67,57,48.4925373134328
"NACC1","ORF",2.249,63,55,48.015873015873
"TMEM97","NONE",3.303,63,55,48.015873015873
"UBE4A","BOTH",-2.235,75,60,48
"SELENBP1","BOTH",-2.171,68,57,47.7794117647059
"POLR3E","BOTH",-2.172,73,59,47.6849315068493
"ANO7","BOTH",-2.226,59,53,47.6101694915254
"FBLN1","ORF",-6.923,59,53,47.6101694915254
"RHOBTB3","BOTH",-2.652,59,53,47.6101694915254
"SERPINA3","ORF",-4.498,66,56,47.5151515151515
"PDIA5","BOTH",-2.803,64,55,47.265625
"ASAH1","ORF",-2.152,53,50,47.1698113207547
"ATP12A","BOTH",1.974,77,60,46.7532467532468
"RNF128","ORF",2.867,54,50,46.2962962962963
"KDM4B","BOTH",-2.112,52,49,46.1730769230769
"DIP2A","BOTH",-2.084,68,56,46.1176470588235
"FAM189A2","NONE",-2.692,46,46,46
"SERF2","BOTH",-2.518,66,55,45.8333333333333
"BBS1","BOTH",-2.822,59,52,45.8305084745763
"TOM1L1","BOTH",-2.853,59,52,45.8305084745763
"PVRL3","BOTH",-2.077,71,57,45.7605633802817
"ECE1","NON_ORF",2.301,87,63,45.6206896551724
"GNE","BOTH",-3.711,64,54,45.5625
"STMN2","BOTH",2.682,55,50,45.4545454545455
"CD9","ORF",-2.219,53,49,45.3018867924528
"B3GNT3","ORF",2.539,51,48,45.1764705882353
"EVPL","BOTH",2.568,67,55,45.1492537313433
"CREB3L1","NON_ORF",-3.52,72,57,45.125
"PIR","BOTH",2.583,58,51,44.8448275862069
"MAS1","ORF",-3.599,56,50,44.6428571428571
"GLI3","BOTH",-3.998,56,50,44.6428571428571
"TYMS","BOTH",5.953,68,55,44.4852941176471
"MAP2K4","ORF",-2.05,54,49,44.462962962963
"TAB3","BOTH",-2.736,54,49,44.462962962963
"KNTC1","BOTH",2.472,61,52,44.327868852459
"TBX3","BOTH",-2.234,52,48,44.3076923076923
"ITM2C","ORF",-3.608,74,57,43.9054054054054
"SLC7A2","BOTH",-2.099,74,57,43.9054054054054
"TNFAIP1","BOTH",2.134,64,53,43.890625
"HDAC9","BOTH",3.976,57,50,43.859649122807
"KIF5C","BOTH",-2.328,57,50,43.859649122807
"SCPEP1","BOTH",-2.101,57,50,43.859649122807
"VPS26B","BOTH",-1.985,57,50,43.859649122807
"FOSL2","ORF",-4.72,60,51,43.35
"MYL9","ORF",-3.321,51,47,43.3137254901961
"ROBO1","BOTH",-2.51,70,55,43.2142857142857
"BACE2","BOTH",-2.268,63,52,42.9206349206349
"FAM21C","ORF",-2.274,56,49,42.875
"UPP1","ORF",2.869,54,48,42.6666666666667
"MPST","ORF",-2.234,52,47,42.4807692307692
"LRP8","BOTH",2.766,64,52,42.25
"STAT6","BOTH",-2.847,48,45,42.1875
"KIAA1377","BOTH",1.972,57,49,42.1228070175439
"SYT1","BOTH",-2.697,46,44,42.0869565217391
"ACAA1","BOTH",-2.592,53,47,41.6792452830189
"CSRP1","BOTH",-3.203,53,47,41.6792452830189
"ZNF462","BOTH",-3.247,51,46,41.4901960784314
"CD99","NONE",-2.737,73,55,41.4383561643836
"NECAP1","BOTH",-2.729,58,49,41.3965517241379
"FXYD3","BOTH",-4.053,56,48,41.1428571428571
"PODXL","ORF",3.008,61,50,40.9836065573771
"SERPINB13","BOTH",2.102,52,46,40.6923076923077
"SLC19A1","ORF",-2.078,67,52,40.3582089552239
"KCNK1","ORF",2.868,48,44,40.3333333333333
"IL6ST","ORF",-2.038,55,47,40.1636363636364
"RNF114","BOTH",3.389,60,49,40.0166666666667
"SPC25","BOTH",2.06,60,49,40.0166666666667
"MAPK10","ORF",-4.215,40,40,40
"COMMD2","BOTH",2.124,53,46,39.9245283018868
"MIPEP","ORF",-2.964,53,46,39.9245283018868
"ABAT","ORF",-4.638,45,42,39.2
"PLEKHG1","BOTH",3.083,54,46,39.1851851851852
"PTPRN2","BOTH",-6.423,43,41,39.093023255814
"RAB27A","ORF",-4.35,59,48,39.0508474576271
"ATAD2","BOTH",4.461,52,45,38.9423076923077
"ERCC5","BOTH",-2.159,48,43,38.5208333333333
"CDK19","BOTH",2.235,55,46,38.4727272727273
"FAM49B","ORF",6.58,65,50,38.4615384615385
"ACADSB","ORF",-2.203,60,48,38.4
"E2F3","BOTH",3.193,46,42,38.3478260869565
"FLI1","BOTH",2.751,46,42,38.3478260869565
"GFPT2","ORF",-3.167,46,42,38.3478260869565
"PPARGC1A","BOTH",-2.235,46,42,38.3478260869565
"CAP2","ORF",-2.325,53,45,38.2075471698113
"ARSA","ORF",-2.811,42,40,38.0952380952381
"MYO3B","BOTH",2.454,42,40,38.0952380952381
"CHID1","ORF",-2.497,58,47,38.0862068965517
"GUSB","ORF",2.333,51,44,37.9607843137255
"MALT1","ORF",-3.727,51,44,37.9607843137255
"ZNF384","BOTH",-2.141,56,46,37.7857142857143
"PTPLB","BOTH",2.978,61,48,37.7704918032787
"HIST1H4L","ORF",2.346,47,42,37.531914893617
"LPGAT1","ORF",3.589,64,49,37.515625
"CAMKK2","ORF",-3.34,52,44,37.2307692307692
"WT1","BOTH",-2.321,43,40,37.2093023255814
"ADH5","BOTH",-2.453,50,43,36.98
"FADS2","ORF",-2.459,68,50,36.7647058823529
"GDF15","ORF",-5.32,48,42,36.75
"COG7","BOTH",-1.973,46,41,36.5434782608696
"PBX1","BOTH",-4.373,46,41,36.5434782608696
"CA2","ORF",2.462,53,44,36.5283018867925
"DNAJC6","ORF",2.274,44,40,36.3636363636364
"EDN3","BOTH",-2.112,40,38,36.1
"SLC20A1","BOTH",2.665,54,44,35.8518518518518
"FZD7","ORF",-3.081,47,41,35.7659574468085
"TST","ORF",-2.376,47,41,35.7659574468085
"MBTPS1","ORF",-3.046,52,43,35.5576923076923
"SYNM","ORF",-2.057,45,40,35.5555555555556
"TMSB10","NONE",2.982,43,39,35.3720930232558
"SLC16A3","BOTH",2.262,60,46,35.2666666666667
"ZNF124","BOTH",2.567,41,38,35.219512195122
"WLS","BOTH",-2.691,74,51,35.1486486486486
"ASB2","BOTH",-2.149,39,37,35.1025641025641
"COL1A2","BOTH",3.793,37,36,35.027027027027
"CDKN3","ORF",8.566,37,36,35.027027027027
"CD109","BOTH",2.334,66,48,34.9090909090909
"KIAA0922","BOTH",2.076,69,49,34.7971014492754
"GCLM","NONE",3.378,46,40,34.7826086956522
"ACVR2A","ORF",-2.082,42,38,34.3809523809524
"BCAT1","ORF",1.983,42,38,34.3809523809524
"DSTYK","ORF",1.984,47,40,34.0425531914894
"MICA","NONE",-2.752,57,44,33.9649122807018
