"from","to"
"SUZ12","ZBTB2"
"DHX15","ENO1"
"ENO1","RHOF"
"ENO1","PRKACA"
"ENO1","GBF1"
"COPS2","ENO1"
"ENO1","ITGA4"
"CHEK2","ENO1"
"ENO1","RIT1"
"DDX24","ENO1"
"ENO1","SMC5"
"ENO1","RNF149"
"DNMT1","ENO1"
"DDX24","DDX24"
"DBN1","DDX24"
"CAPZB","DDX24"
"DDX24","RBM4"
"DDX24","SNIP1"
"ATP2A1","DDX24"
"DDX24","ZBTB2"
"DDX24","SRPK2"
"ADARB1","DDX24"
"DDX24","TLX2"
"DDX24","NUP43"
"DDX24","SMC5"
"GOLGB1","NUP155"
"LEMD3","NUP155"
"IRAK1","NUP155"
"NUP155","RTN4"
"NUP155","SNW1"
"EYA4","NUP155"
"NUP155","NUPR1"
"ATP2A1","NUP155"
"NUP155","RHOF"
"NUP155","RIT1"
"NUP155","RAN"
"NUP155","STYK1"
"NUP155","RNF149"
"PHGDH","SUZ12"
"PHGDH","SNW1"
"ILF3","PHGDH"
"PHGDH","WDTC1"
"BAG1","PHGDH"
"PHGDH","PRKACA"
"CAPZB","DBN1"
"DBN1","NF2"
"DBN1","SUZ12"
"DBN1","NUPR1"
"DBN1","TLX2"
"DBN1","STYK1"
"DBN1","DDX24"
"DBN1","SMC5"
"CHERP","SART1"
"SART1","SNW1"
"DNMT3B","SART1"
"DHX9","SART1"
"ILF3","SART1"
"SART1","SUZ12"
"SART1","SRPK2"
"NUPR1","SART1"
"SART1","SMC5"
"ITGA4","RBM4"
"ITGA4","RAN"
"ITGA4","MBNL1"
"ITGA4","ITGA4"
"DHX15","ITGA4"
"ILF3","ITGA4"
"CAPZB","ITGA4"
"ITGA4","PPP2CA"
"ITGA4","VCL"
"ITGA4","LGALS8"
"ACIN1","DHX9"
"ACIN1","DHX15"
"ACIN1","SRPK2"
"ACIN1","SUZ12"
"ACIN1","SNIP1"
"ACIN1","SNW1"
"ACIN1","NUPR1"
"ACIN1","ZBTB2"
"ACIN1","NRP1"
"ACIN1","COPS2"
"ACIN1","ADARB1"
"ACIN1","NUP43"
"ACIN1","SMC5"
"YTHDF2","ZNF598"
"YTHDF3","ZNF598"
"ADARB1","ADARB1"
"ADARB1","SRPK2"
"ADARB1","DDX24"
"ADARB1","RBFOX2"
"ACIN1","ADARB1"
"ADARB1","ILF3"
"ADARB1","SNW1"
"ADARB1","H2AFY"
"ADARB1","RAN"
"ADARB1","SIN3A"
"CDK6","PPP2CA"
"IRAK1","PPP2CA"
"CHEK2","PPP2CA"
"PPP2CA","PRKCZ"
"MAP4K4","PPP2CA"
"ITGA4","PPP2CA"
"DPF2","PPP2CA"
"CHERP","SNIP1"
"SNIP1","SNW1"
"SNIP1","SRPK2"
"ACIN1","SNIP1"
"SNIP1","SNIP1"
"DHX15","SNIP1"
"DDX24","SNIP1"
"RAN","SNIP1"
"H2AFY","SNIP1"
"ILF3","SNIP1"
"CDK6","SNIP1"
"RAN","SIN3A"
"COPS2","SIN3A"
"SIN3A","SUZ12"
"SIN3A","ZMYM2"
"DNMT3B","SIN3A"
"SIN3A","SNW1"
"H2AFY","SIN3A"
"ADCK3","SIN3A"
"ADARB1","SIN3A"
"LEMD3","SEC63"
"RTN4","SEC63"
"ATP2A1","SEC63"
"RAB3B","SEC63"
"GBF1","SEC63"
"RNF149","SEC63"
"ILF3","TUBA4A"
"SNW1","TUBA4A"
"PRKCZ","TUBA4A"
"BAG1","TUBA4A"
"ADARB1","TUBA4A"
"SMC5","TUBA4A"
"MAP4K4","NRAS"
"NF2","NRAS"
"NRAS","NRAS"
"GOLGB1","NRAS"
"LEMD3","NRAS"
"COPS3","PSMD11"
"COPS2","PSMD11"
"DHX15","PSMD11"
"PPP2CA","PSMD11"
"PSMD11","TCEB2"
"PRKACA","PSMD11"
"PSMD11","SNW1"
"BAG1","PSMD11"
"PSMD11","RIT1"
"ILF3","PSMD11"
"ATP2A1","LEMD3"
"ATP2A1","NUP155"
"ATP2A1","RAB3B"
"ATP2A1","RTN4"
"ATP2A1","DDX24"
