"from","to"
"ATP2A1","NUP155"
"NUP155","RIT1"
"NUP155","STYK1"
"NUP155","RNF149"
"PHGDH","SUZ12"
"ILF3","PHGDH"
"BAG1","PHGDH"
"DBN1","NF2"
"DBN1","SUZ12"
"DBN1","NUPR1"
"DBN1","TLX2"
"DBN1","STYK1"
"DBN1","DDX24"
"DBN1","SMC5"
"CHERP","SART1"
"DNMT3B","SART1"
"DHX9","SART1"
"ILF3","SART1"
"SART1","SUZ12"
"NUPR1","SART1"
"SART1","SMC5"
"ITGA4","MBNL1"
"ITGA4","ITGA4"
"DHX15","ITGA4"
"ILF3","ITGA4"
"ITGA4","PPP2CA"
"ITGA4","VCL"
"ITGA4","LGALS8"
"ACIN1","DHX9"
"ACIN1","DHX15"
"ACIN1","SUZ12"
"ACIN1","SNIP1"
"ACIN1","NUPR1"
"ACIN1","ZBTB2"
"ACIN1","NRP1"
"ACIN1","COPS2"
"ACIN1","ADARB1"
"ACIN1","NUP43"
"ACIN1","SMC5"
"YTHDF3","ZNF598"
"ADARB1","ADARB1"
"ADARB1","DDX24"
"ADARB1","RBFOX2"
"ACIN1","ADARB1"
"ADARB1","ILF3"
"ADARB1","H2AFY"
"ADARB1","SIN3A"
"CDK6","PPP2CA"
"IRAK1","PPP2CA"
"PPP2CA","PRKCZ"
"MAP4K4","PPP2CA"
"ITGA4","PPP2CA"
"DPF2","PPP2CA"
"CHERP","SNIP1"
"ACIN1","SNIP1"
"SNIP1","SNIP1"
"DHX15","SNIP1"
"DDX24","SNIP1"
"H2AFY","SNIP1"
"ILF3","SNIP1"
"CDK6","SNIP1"
"COPS2","SIN3A"
"SIN3A","SUZ12"
"SIN3A","ZMYM2"
"DNMT3B","SIN3A"
"H2AFY","SIN3A"
"ADARB1","SIN3A"
"LEMD3","SEC63"
"RTN4","SEC63"
"ATP2A1","SEC63"
"RAB3B","SEC63"
"GBF1","SEC63"
"RNF149","SEC63"
"ILF3","TUBA4A"
"PRKCZ","TUBA4A"
"BAG1","TUBA4A"
"ADARB1","TUBA4A"
"SMC5","TUBA4A"
"MAP4K4","NRAS"
"NF2","NRAS"
"NRAS","NRAS"
"GOLGB1","NRAS"
"LEMD3","NRAS"
"COPS3","PSMD11"
"COPS2","PSMD11"
"DHX15","PSMD11"
"PPP2CA","PSMD11"
"BAG1","PSMD11"
"PSMD11","RIT1"
"ILF3","PSMD11"
"ATP2A1","LEMD3"
"ATP2A1","NUP155"
"ATP2A1","RAB3B"
"ATP2A1","RTN4"
"ATP2A1","DDX24"
"ATP2A1","DPF2"
"ATP2A1","SMC5"
"DNMT1","DNMT3B"
"DNMT1","DNMT1"
"COPS2","DNMT1"
"DNMT1","SUZ12"
"DNMT1","RIT1"
"DNMT1","SMC5"
"BAG1","RB1"
"DNMT1","RB1"
"CDK6","RB1"
"CHERP","SNIP1"
"CHERP","RBFOX2"
"CHERP","RIT1"
"CHERP","DHX9"
"CHERP","DHX15"
"CHERP","SMC5"
"MBNL1","MYO1B"
"DBN1","MYO1B"
"IFITM1","MYO1B"
"MYO1B","STYK1"
"DDX24","MYO1B"
"ABCF1","DHX9"
"ABCF1","NUPR1"
"ABCF1","RIT1"
"RBM34","SUZ12"
"ILF3","RBM34"
"MAP4K4","RBM34"
"ADARB1","RBM34"
"RBM34","TLX2"
"PPP2CA","PPP2R2A"
"ILF3","RCN2"
"PRKCZ","RCN2"
"COPS2","TROVE2"
"DHX9","TROVE2"
"ILF3","TROVE2"
"COPS3","TROVE2"
"H2AFY","TROVE2"
"PRKCZ","PRKCZ"
"PPP2CA","PRKCZ"
"IRAK1","PRKCZ"
"RTN4","RTN4"
"ILF3","RTN4"
"ATP2A1","RTN4"
"NUP155","RTN4"
"RAB3B","RTN4"
"RAB4A","RTN4"
"IFITM1","RTN4"
"ACIN1","PTCD3"
"PTCD3","SUZ12"
"PTCD3","ZBTB2"
"PTCD3","TLX2"
"PTCD3","RIT1"
"MACF1","NUPR1"
"MACF1","VCL"
"ITGA4","KRT1"
"DDX24","KRT1"
"ATP2A1","DPF2"
"COPS3","DPF2"
"DPF2","PPP2CA"
"DPF2","H2AFY"
"DPF2","HNF1B"
"DPF2","TLX2"
"CEBPZ","ILF3"
"CEBPZ","ZBTB2"
"ADARB1","CEBPZ"
"CEBPZ","RIT1"
"CEBPZ","NUP43"
"CEBPZ","SMC5"
"GBF1","VCL"
"CDK6","GBF1"
"GBF1","RAB3B"
"BAG1","GBF1"
"ATP2A1","LSG1"
"LSG1","NUP155"
"LSG1","NRP1"
"VCL","VCL"
"GBF1","VCL"
"ITGA4","VCL"
"RNF149","VCL"
"LEMD3","NRAS"
"ATP2A1","LEMD3"
"LEMD3","NUP155"
"LEMD3","RAB3B"
"LEMD3","RAB4A"
"ILF3","LEMD3"
"LEMD3","STYK1"
"LEMD3","SMC5"
"SIN3A","SMARCA2"
"DPF2","SMARCA2"
"SMARCA2","SUZ12"
"HNF1B","SMARCA2"
"SMARCA2","SNIP1"
"COPS2","SIN3A"
"COPS2","COPS3"
"COPS2","COPS2"
"ACIN1","COPS2"
"COPS2","DNMT1"
"COPS2","RIT1"
"COPS2","H2AFY"
"TSG101","TSG101"
"NF2","TSG101"
"IFITM1","TSG101"
"ZMYM2","ZMYM2"
"H2AFY","ZMYM2"
"SIN3A","ZMYM2"
"NUP43","ZMYM2"
"SMC5","ZMYM2"
"GOLGB1","RAB3B"
"LEMD3","RAB3B"
"RAB3B","RTN4"
"GBF1","RAB3B"
"ATP2A1","RAB3B"
