"from","to"
"GOLGB1","NRAS"
"LEMD3","NRAS"
"PRKCZ","PRKCZ"
"PPP2CA","PRKCZ"
"IRAK1","PRKCZ"
"CDK6","PPP2CA"
"IRAK1","PPP2CA"
"CHEK2","PPP2CA"
"PPP2CA","PRKCZ"
"MAP4K4","PPP2CA"
"ITGA4","PPP2CA"
"DPF2","PPP2CA"
"LEMD3","NRAS"
"ATP2A1","LEMD3"
"LEMD3","NUP155"
"LEMD3","RAB3B"
"LEMD3","RAB4A"
"LEMD3","RHOF"
"ILF3","LEMD3"
"LEMD3","STYK1"
"LEMD3","SMC5"
"GOLGB1","NUP155"
"LEMD3","NUP155"
"IRAK1","NUP155"
"NUP155","RTN4"
"NUP155","SNW1"
"EYA4","NUP155"
"NUP155","NUPR1"
"ATP2A1","NUP155"
"NUP155","RHOF"
"NUP155","RIT1"
"NUP155","RAN"
"NUP155","STYK1"
"NUP155","RNF149"
"RTN4","RTN4"
"ILF3","RTN4"
"ATP2A1","RTN4"
"NUP155","RTN4"
"RAB3B","RTN4"
"RAB4A","RTN4"
"IFITM1","RTN4"
"ATP2A1","LEMD3"
"ATP2A1","NUP155"
"ATP2A1","RAB3B"
"ATP2A1","RTN4"
"ATP2A1","DDX24"
"ATP2A1","DPF2"
"ATP2A1","SMC5"
"VCL","VCL"
"CAPZB","VCL"
"GBF1","VCL"
"ITGA4","VCL"
"RNF149","VCL"
"STYK1","STYK1"
"DBN1","STYK1"
"MAP4K4","STYK1"
"LEMD3","STYK1"
"NUP155","STYK1"
"GOLGB1","RAB3B"
"LEMD3","RAB3B"
"RAB3B","RTN4"
"GBF1","RAB3B"
"ATP2A1","RAB3B"
"GPR182","RAB3B"
"NRP1","RAB3B"
"ATP2A1","DPF2"
"COPS3","DPF2"
"DPF2","PPP2CA"
"DDIT3","DPF2"
"DPF2","H2AFY"
"DPF2","HNF1B"
"DPF2","TLX2"
"GBF1","VCL"
"CDK6","GBF1"
"GBF1","SRPK2"
"GBF1","RAB3B"
"GBF1","GPR182"
"GBF1","RHOF"
"BAG1","GBF1"
"ITGA4","LGALS8"
"LGALS8","NUPR1"
"CAPZB","DBN1"
"DBN1","NF2"
"DBN1","SUZ12"
"DBN1","NUPR1"
"DBN1","TLX2"
"DBN1","STYK1"
"DBN1","DDX24"
"DBN1","SMC5"
"IFITM1","IFITM1"
"IFITM1","YTHDF3"
"IFITM1","RTN4"
"GOLGB1","IFITM1"
"IFITM1","TSG101"
"IFITM1","YTHDF2"
"CDK6","SNIP1"
"CDK6","DDIT3"
"CDK6","CDK6"
"CDK6","FKBP5"
"CDK6","PPP2CA"
"CDK6","GBF1"
"CDK6","NF2"
"CDK6","NUPR1"
"HNF1B","HNF1B"
"EYA4","HNF1B"
"DPF2","HNF1B"
"HNF1B","TLX2"
"YTHDF2","YTHDF3"
"RBFOX2","YTHDF3"
"NRP1","YTHDF3"
"IFITM1","YTHDF3"
"SMC5","YTHDF3"
"GOLGB1","GOLGB1"
"GOLGB1","NRAS"
"GOLGB1","NUP155"
"GOLGB1","RAB3B"
"GOLGB1","RAB4A"
"GOLGB1","NRP1"
"GOLGB1","IFITM1"
"GOLGB1","RHOF"
"EYA4","EYA4"
"EYA4","FHL3"
"EYA4","NUP155"
"EYA4","RBM4"
"EYA4","HNF1B"
"CRYAA","EYA4"
"DPF2","TLX2"
"DDX24","TLX2"
"DBN1","TLX2"
"HNF1B","TLX2"
"ITGA4","RBM4"
"ITGA4","RAN"
"ITGA4","MBNL1"
"ITGA4","ITGA4"
"DHX15","ITGA4"
"ILF3","ITGA4"
"CAPZB","ITGA4"
"ITGA4","PPP2CA"
"ITGA4","VCL"
"ITGA4","LGALS8"
"TSG101","TSG101"
"NF2","TSG101"
"IFITM1","TSG101"
"FHL3","FHL3"
"FHL3","SNW1"
"CHEK2","FHL3"
"FHL3","SUZ12"
"EYA4","FHL3"
"CAPZB","FHL3"
"DNMT1","DNMT3B"
"DNMT1","DNMT1"
"COPS2","DNMT1"
"DNMT1","SUZ12"
"DNMT1","RIT1"
"DNMT1","SMC5"
"CHERP","SNIP1"
"CHERP","RBFOX2"
"CHERP","SRPK2"
"CHERP","SNW1"
"CHERP","RIT1"
"CHERP","DHX9"
"CHERP","DHX15"
"CHERP","SMC5"
"DHX9","MBNL1"
"H2AFY","MBNL1"
"ITGA4","MBNL1"
"MBNL1","RBFOX2"
"BAG1","MBNL1"
"CAPZB","MBNL1"
"MBNL1","SMC5"
"ZMYM2","ZMYM2"
"H2AFY","ZMYM2"
"CRYAA","ZMYM2"
"SIN3A","ZMYM2"
"NUP43","ZMYM2"
"SMC5","ZMYM2"
