"from","to"
"CCT3","RICTOR"
"EPHA2","EZR"
"EZR","NEDD4"
"EZR","RICTOR"
"GNL3","NOP56"
"GNL3","NOP58"
"FBXO7","GNL3"
"GNL3","KIF20A"
"GNL3","MKI67"
"GNL3","PARP1"
"GNL3","NAA40"
"GNL3","ZBTB2"
"GNL3","RIT1"
"GNL3","UBE2O"
"NOP58","NOP58"
"NOP56","NOP58"
"GNL3","NOP58"
"NOP58","SUZ12"
"NOP58","UBE3A"
"KIF20A","NOP58"
"MKI67","NOP58"
"NOP58","PARP1"
"NOP58","ZBTB2"
"NOP58","RIT1"
"NOP58","UBE2O"
"SRSF1","SRSF7"
"SRSF10","SRSF7"
"SH3KBP1","SRSF7"
"NEDD4","SRSF7"
"SRSF7","SUZ12"
"FBXO7","SRSF7"
"KIF20A","SRSF7"
"RIT1","SRSF7"
"SRSF7","UBC"
"CCT3","TUBA1B"
"RICTOR","TUBA1B"
"TUBA1B","UBE3A"
"OPTN","TUBA1B"
"RIT1","TUBA1B"
"RNF43","TUBA1B"
"TUBA1B","UBE2O"
"EPHA2","TUBA1B"
"CHAF1A","MSH6"
"MSH6","XRCC5"
"MSH6","PRKDC"
"MSH6","SRSF1"
"MSH6","NAA40"
"MSH6","ZBTB2"
"MSH6","PARP1"
"GNL3","RIT1"
"RIT1","SMARCA4"
"RIT1","RIT1"
"CDC20","RIT1"
"CCT3","RIT1"
"NOP56","RIT1"
"NOP58","RIT1"
"RACGAP1","RIT1"
"RIT1","SRSF1"
"RIT1","TUBA1B"
"RIT1","XRCC5"
"LRRK2","RIT1"
"HNRNPA0","SRSF1"
"HNRNPA0","UBC"
"HNRNPA0","KIF20A"
"HIST1H1E","SRSF1"
"HIST1H1E","SRSF10"
"HIST1H1E","UBB"
"HIST1H1E","UBE3A"
"HIST1H1E","KIF20A"
"HIST1H1E","NAA40"
"HIST1H1E","ZBTB2"
"HIST1H1E","NOP56"
"HIST1H1E","IKZF1"
"HIST1H1E","RICTOR"
"HIST1H1E","UBC"
"EPHA2","EPHA2"
"EPHA2","HSP90AA1"
"EPHA2","TUBA1B"
"EPHA2","RICTOR"
"EPHA2","LAMP1"
"EPHA2","RNF43"
"LARP4B","SRSF1"
"LARP4B","SRSF10"
"HSP90AA1","LARP4B"
"KIF20A","LARP4B"
"LARP4B","PARP1"
"LARP4B","RNF43"
"SRSF1","SRSF10"
"CCT3","SRSF10"
"PRKDC","SRSF10"
"HSP90AA1","SRSF10"
"PARP1","SRSF10"
"SRSF10","SUZ12"
"FBXO7","SRSF10"
"KIF20A","SRSF10"
"SRSF10","ZBTB2"
"SRSF10","YWHAH"
"SH3KBP1","SRSF10"
"HSP90AA1","HSPA6"
"HSPA6","RNF43"
"HSPA6","UBE2O"
"LAMP1","LAMP1"
"LAMP1","RICTOR"
"EPHA2","LAMP1"
"LAMP1","YWHAH"
"NOP56","TSR1"
"SRSF1","TSR1"
"TSR1","TUBA1B"
"TSR1","UBE2O"
"SUZ12","TSR1"
"FBXO7","HNRNPH2"
"HNRNPH2","KIF20A"
"HNRNPH2","OPTN"
"HNRNPH2","RNF43"
"CENPA","PRKDC"
"CENPA","XRCC5"
"CENPA","CHAF1A"
"CENPA","MSH6"
"CENPA","RACGAP1"
"CENPA","NOP56"
"CENPA","PARP1"
"NOP56","RPL37A"
"GNL3","RPL37A"
"NOP58","RPL37A"
"FBXO7","RPL37A"
"KIF20A","RPL37A"
"RIT1","RPL37A"
"RPL37A","UBE2O"
"NCAPD2","PARP1"
"NCAPD2","SUZ12"
"KIF20A","SUGP2"
"NAA40","SUGP2"
"RNF43","SUGP2"
"RICTOR","SUGP2"
"NAA40","POLDIP3"
"RNF43","RNF43"
"EPHA2","RNF43"
"MKI67","RNF43"
"RNF43","UBE2O"
"RNF43","TUBA1B"
"UBE3A","UBE3A"
"UBC","UBE3A"
"UBB","UBE3A"
"TUBA1B","UBE3A"
"NOP58","UBE3A"
"UBE3A","YWHAH"
"CDC20","CDC20"
"CDC20","FBXW5"
"CCT3","CDC20"
"CDC20","UBB"
"CDC20","UBC"
"CDC20","MKI67"
"CDC20","RIT1"
"CDC20","YWHAH"
"CDC20","UBE2O"
"NEDD4","NEDD4"
"NEDD4","UBC"
"NEDD4","YWHAH"
"NEDD4","UBB"
"LRRK2","NEDD4"
"CHAF1A","DDX41"
"DDX41","PARP1"
"DDX41","RIT1"
"DDX41","IKZF1"
"DDX41","UBE2O"
"CNOT1","FBXO7"
"CNOT1","SUZ12"
"CNOT1","RNF43"
"NFATC1","PARP1"
"NFATC1","SMARCA4"
"IKZF1","NFATC1"
"NFATC1","XRCC5"
"FBXO7","FBXO7"
"FBXO7","UBB"
"DYNC1H1","FBXO7"
"FBXO7","HSP90AA1"
"FBXO7","GNL3"
"FBXO7","SRSF10"
"FBXO7","UBC"
"PARP1","SMCHD1"
"NAA40","SMCHD1"
"OPTN","SMCHD1"
"HSP90AA1","LRRK2"
"LRRK2","YWHAH"
"LRRK2","LRRK2"
"LRRK2","PRKDC"
"DYNC1H1","LRRK2"
"LRRK2","RIT1"
"LRRK2","NEDD4"
"DYNC1H1","FGD5"
"CCT3","FGD5"
"FGD5","HSP90AA1"
"FGD5","TUBA1B"
"OPTN","YWHAH"
"OPTN","UBC"
"OPTN","OPTN"
"OPTN","UBB"
"OPTN","TUBA1B"
"DYNC1H1","OPTN"
"OPTN","XRCC5"
"NOP56","OPTN"
"MKI67","OPTN"
"NAA40","OPTN"
"CCT3","DCAF4"
"DCAF4","FBXW5"
"DCAF4","UBE2O"
"DCAF4","GNL3"
"DCAF4","SRSF10"
"DCAF4","NOP58"
"DCAF4","OPTN"
"SH3KBP1","SH3KBP1"
"RACGAP1","SH3KBP1"
"SH3KBP1","UBC"
"SH3KBP1","SRSF1"
"SH3KBP1","SRSF10"
"MKI67","RPF2"
"RPF2","ZBTB2"
"RPF2","SRSF1"
"RIT1","RPF2"
"NCAPG","PARP1"
"NCAPG","UBC"
"NCAPG","SUZ12"
"NCAPG","TUBA1B"
"AKAP8","LRRK2"
"AKAP8","KIF20A"
"AKAP8","UBE2O"
"AKAP8","RNF43"
"AKAP8","YWHAH"
"RFC5","UBC"
"NOP56","RFC5"
"PARP1","RFC5"
"RFC5","RIT1"
"SREK1","SRSF1"
"SREK1","SRSF10"
"PARP1","SREK1"
"NDC80","PPIL4"
"PPIL4","RIT1"
"EPHA2","RHOG"
"RHOG","RICTOR"
"RHOG","TUBA1B"
"RHOG","UBC"
"PCNT","YWHAH"
"PCNT","SUZ12"
"PCNT","RACGAP1"
"NDC80","PCNT"
"NAA40","PCNT"
"EPHA2","RHOH"
"RHOH","RICTOR"
"RHOH","TUBA1B"
"LRRK2","RIF1"
"NAA40","RIF1"
"RIF1","UBC"
"NDC80","NDC80"
"NUP85","PRKDC"
"MKI67","NUP85"
"NUP85","RIT1"
"NUP85","PARP1"
"HSP90AA1","TTK"
"CDC20","TTK"
"NDC80","TTK"
"RNF43","TTK"
"TTK","YWHAH"
"IKZF1","SMARCA4"
"IKZF1","IKZF1"
"HSP90AA1","IKZF1"
"IKZF1","PARP1"
"IKZF1","MKI67"
"GRB10","NEDD4"
"GRB10","UBB"
"GRB10","UBC"
"GRB10","YWHAH"
"GRB10","MKI67"
"GRB10","RICTOR"
"HSP90AA1","HSPA1B"
"HSPA1B","LRRK2"
"HSPA1B","RNF43"
"EPHA2","HSPA1B"
"CHAF1A","CHAF1A"
"CHAF1A","PRKDC"
"CHAF1A","XRCC5"
"CHAF1A","MSH6"
"CHAF1A","SUZ12"
"CHAF1A","SMARCA4"
"PRKDC","WRN"
"WRN","XRCC5"
"CHAF1A","WRN"
"PARP1","WRN"
"FARSB","NAA40"
"FARSB","RICTOR"
"RACGAP1","YWHAH"
"RACGAP1","SH3KBP1"
"KIF20A","RACGAP1"
"MKI67","RACGAP1"
"PARP1","RACGAP1"
"RACGAP1","RIT1"
"PABPC5","SRSF10"
"PABPC5","SRSF1"
"KIF20A","PABPC5"
"CPSF3","NAA40"
"CPSF3","RIT1"
"SLTM","SUZ12"
"MORF4L1","MSH6"
